,patnum,patnum_kpss,ptype,applnum,ee_number,ee_name,ee_role,ee_role_desc,ee_country,ee_state,ee_city,backward_cites,forward_cites,grantyear,applyear
1,10428306,10428306,utility,15235202,0,"Warsaw Orthopedic, Inc.",2,United States company or corporation,US,IN,Warsaw,4,0,2019,2016
2,9609940,9609940,utility,15246217,0,"Dr. Fresh, LLC",2,United States company or corporation,US,CA,Buena Park,12,0,2017,2016
4,8172012,8172012,utility,12792987,0,Baker Hughes Incorporated,2,United States company or corporation,US,TX,Houston,47,14,2012,2010
6,9361684,9361684,utility,13999381,0,"EchoPixel, Inc.",2,United States company or corporation,US,CA,Los Altos Hills,3,1,2016,2014
7,9011846,9011846,utility,13099087,0,"Biomet Biologics, LLC",2,United States company or corporation,US,IN,Warsaw,40,1,2015,2011
14,8949183,8949183,utility,13584509,0,International Business Machines Corporation,2,United States company or corporation,US,NY,Armonk,14,3,2015,2012
16,10499509,10499509,utility,16237269,0,General Electric Company,2,United States company or corporation,US,NY,Schenectady,1,0,2019,2018
17,10379147,10379147,utility,14971652,0,Dassault Systemes Simulia Corp.,2,United States company or corporation,US,RI,Johnston,6,0,2019,2015
18,10099219,10099219,utility,15357840,0,"Bio-Rad Laboratories, Inc.",2,United States company or corporation,US,CA,Hercules,123,0,2018,2016
25,8925058,8925058,utility,13434257,0,EMC Corporation,2,United States company or corporation,US,MA,Hopkinton,0,20,2014,2012
33,10284003,10284003,utility,13647654,0,General Electric Company,2,United States company or corporation,US,NY,Schenectady,3,0,2019,2012
36,8568519,8568519,utility,13068005,0,"Inogen, Inc.",2,United States company or corporation,US,CA,Santa Barbara,9,2,2013,2011
42,9934800,9934800,utility,15435583,0,SEAGATE TECHNOLOGY LLC,2,United States company or corporation,US,CA,Cupertino,0,1,2018,2017
46,9727914,9727914,utility,13630640,0,"Trading Technologies International, Inc.",2,United States company or corporation,US,IL,Chicago,1,0,2017,2012
49,8323495,8323495,utility,12714868,0,"Anticline Disposal, LLC",2,United States company or corporation,US,WY,Boulder,1,1,2012,2010
51,8636459,8636459,utility,13151178,0,"Brooks Automation, Inc.",2,United States company or corporation,US,MA,Chelmsford,9,1,2014,2011
55,10355865,10355865,utility,16001877,0,"DeepTruth, LLC",2,United States company or corporation,US,ID,Boise,6,0,2019,2018
62,10013270,10013270,utility,14958148,0,INTERNATIONAL BUSINESS MACHINES CORPORATION,2,United States company or corporation,US,NY,Armonk,5,0,2018,2015
64,10119495,10119495,utility,15635384,0,General Electric Company,2,United States company or corporation,US,NY,Schenectady,15,0,2018,2017
65,9996589,9996589,utility,14693529,0,INTERNATIONAL BUSINESS MACHINES CORPORATION,2,United States company or corporation,US,NY,Armonk,1,0,2018,2015
66,9946854,9946854,utility,15638084,0,Whitecryption Corporation,2,United States company or corporation,US,DE,Wilmington,8,1,2018,2017
71,9874355,9874355,utility,13912871,0,"Electrolux Home Products, Inc.",2,United States company or corporation,US,NC,Charlotte,7,2,2018,2013
72,10382505,10382505,utility,15988778,0,Google LLC,2,United States company or corporation,US,CA,Mountain View,0,0,2019,2018
74,9679741,9679741,utility,12942201,0,FEI Company,2,United States company or corporation,US,OR,Hillsboro,40,0,2017,2010
77,9041815,9041815,utility,13014086,0,Apple Inc.,2,United States company or corporation,US,CA,Cupertino,3,0,2015,2011
78,10304459,10304459,utility,15782728,0,"Sorenson IP Holdings, LLC",2,United States company or corporation,US,UT,Salt lake City,8,0,2019,2017
82,8831743,8831743,utility,13836287,0,"Imricor Medical Systems, Inc.",2,United States company or corporation,US,MN,Burnsville,24,0,2014,2013
83,8511745,8511745,utility,13241675,0,"Tesla Motors, Inc.",2,United States company or corporation,US,CA,Palo Alto,7,2,2013,2011
100,8951071,8951071,utility,13913277,0,Apple Inc.,2,United States company or corporation,US,CA,Cupertino,8,11,2015,2013
104,10077710,10077710,utility,14005350,0,BorgWarner Inc.,2,United States company or corporation,US,MI,Auburn Hills,10,0,2018,2012
106,10400815,10400815,utility,15046974,0,"Bettcher Industries, Inc.",2,United States company or corporation,US,OH,Birmingham,49,0,2019,2016
108,9817524,9817524,utility,13712817,0,"Amazon Technologies, Inc.",2,United States company or corporation,US,NV,Reno,1,1,2017,2012
113,8528909,8528909,utility,13032211,0,Gaming Partners International Corporation,2,United States company or corporation,US,NV,Las Vegas,4,9,2013,2011
115,9257606,9257606,utility,13890611,0,The Trustees of Columbia University in the City of New York,2,United States company or corporation,US,NY,New York,37,1,2016,2013
119,10351408,10351408,utility,16029789,0,"Cornelius, Inc.",2,United States company or corporation,US,MN,Osseo,28,0,2019,2018
129,10056218,10056218,utility,15435976,0,"Savannah River Nuclear Solutions, LLC",2,United States company or corporation,US,SC,Aiken,14,0,2018,2017
131,10336306,10336306,utility,15426619,0,"New York Air Brake, LLC",2,United States company or corporation,US,NY,Watertown,18,0,2019,2017
134,8687949,8687949,utility,13413313,0,TiVo Inc.,2,United States company or corporation,US,CA,Alviso,104,1,2014,2012
135,8806331,8806331,utility,12838347,0,"Interactive Memories, Inc.",2,United States company or corporation,US,CA,Palo Alto,2,8,2014,2010
137,10225304,10225304,utility,15207172,0,DISH TECHNOLOGIES LLC,2,United States company or corporation,US,CO,Englewood,119,0,2019,2016
141,10182414,10182414,utility,15368061,0,"Board of Regents, The University of Texas System",2,United States company or corporation,US,TX,Austin,2,1,2019,2016
144,9906194,9906194,utility,15156832,0,"Aviat U.S., Inc.",2,United States company or corporation,US,CA,Milpitas,15,0,2018,2016
146,9656006,9656006,utility,14057705,0,"InfinivationBiomedical, LLC",2,United States company or corporation,US,NY,Moravia,21,0,2017,2013
148,8599367,8599367,utility,12850536,0,Alliant Techsystems Inc.,2,United States company or corporation,US,VA,Arlington,13,15,2013,2010
151,9458905,9458905,utility,14029285,0,Steelcase Inc.,2,United States company or corporation,US,MI,Grand Rapids,39,1,2016,2013
163,9521559,9521559,utility,14873117,0,QUALCOMM Incorporated,2,United States company or corporation,US,CA,San Diego,1,0,2016,2015
164,10320833,10320833,utility,15488154,0,"Microsoft Technology Licensing, LLC",2,United States company or corporation,US,WA,Redmond,5,0,2019,2017
168,10194911,10194911,utility,14751306,0,Ethicon LLC,2,United States company or corporation,US,PR,Guaynabo,16,1,2019,2015
170,9467840,9467840,utility,15083355,0,International Business Machines Corporation,2,United States company or corporation,US,NY,Armonk,4,3,2016,2016
172,8943159,8943159,utility,14290633,0,"Callwave Communications, LLC",2,United States company or corporation,US,MA,Brookline,149,1,2015,2014
175,8285024,8285024,utility,13134283,0,"Ventana Medical Systems, Inc.",2,United States company or corporation,US,AZ,Tucson,23,1,2012,2011
176,10241923,10241923,utility,13670009,0,International Business Machines Corporation,2,United States company or corporation,US,NY,Armonk,5,0,2019,2012
180,9426794,9426794,utility,13488374,0,"Access Solutions, Ltd.",2,United States company or corporation,US,TX,Dallas,86,0,2016,2012
182,9512163,9512163,utility,14402220,0,"Agilent Technologies, Inc.",2,United States company or corporation,US,CA,Santa Clara,1,0,2016,2013
188,9315236,9315236,utility,14026983,0,"Malibu Boats, LLC",2,United States company or corporation,US,CA,Merced,46,7,2016,2013
189,9869132,9869132,utility,15016094,0,"NATIONAL OILWELL VARCO, L.P.",2,United States company or corporation,US,TX,Houston,20,0,2018,2016
192,9835301,9835301,utility,14789131,0,ABL IP Holding LLC,2,United States company or corporation,US,GA,Atlanta,41,3,2017,2015
195,9008780,9008780,utility,13523597,1,University of Kansas,2,United States company or corporation,US,KS,Lawrence,16,3,2015,2012
204,10255961,10255961,utility,15851816,0,"Everspin Technologies, Inc.",2,United States company or corporation,US,AZ,Chandler,5,0,2019,2017
210,10394997,10394997,utility,16134770,0,Altera Corporation,2,United States company or corporation,US,CA,San Jose,3,0,2019,2018
212,10113002,10113002,utility,14421103,0,"Genentech, Inc.",2,United States company or corporation,US,CA,South San Francisco,3,0,2018,2013
213,9260064,9260064,utility,13689497,1,Lord Corporation,2,United States company or corporation,US,NC,Cary,20,1,2016,2012
214,8625075,8625075,utility,12959128,0,Massachusetts Institute of Technology,2,United States company or corporation,US,MA,Cambridge,2,0,2014,2010
